"fcl","cpc"
"0020","F0020"
"0022","F0022"
"0235","F0235"
"0262","F0262"
"0472","F0472"
"0473","F0473"
"0475","F0475"
"0623","F0623"
"0665","F0665"
"0666","F0666"
"0769","F0769"
"0875","F0875"
"0994","F0994"
"1009","F1009"
"1042","F1042"
"1061","F1061"
"1172","F1172"
"1217","F1217"
"1223","F1223"
"1232","F1232"
"1243","F1243"
"1275","F1275"
"1293","F1293"
"1294","F1294"
"0016","23110"
"0038","23120.01"
"0048","23120.02"
"0051","24310,01"
"0058","23120.03"
"0066","24310,02"
"0072","23120.04"
"0080","23120.05"
"0082","24310,03"
"0084","23120.06"
"0086","24310,04"
"0090","23120.07"
"0095","23120.08"
"0098","23120.09"
"0104","23120.10"
"0111","23120.90"
"0220","01373"
"0223","01375"
"0226","01379.01"
"0234","01379.90"
"0268","21631.01"
"0271","21641.01"
"0281","21631.02"
"0293","21641.02"
"0339","01449.90"
"0463","01290.90"
"0558","01355.90"
"0564","24212.02"
"0577","01314"
"0603","01319"
"0619","01359.90"
"0631","17400"
"0667","01620"
"0687","01651"
"0689","01652"
"0692","01658"
"0693","01655"
"0698","01656"
"0702","01653"
"0711","01654"
"0720","01657"
"0777","01929.02"
"0778","01929.03"
"0780","01922.01"
"0782","01922.02"
"0788","01929.04"
"0789","01929.05"
"0800","01929.06"
"0809","01929.07"
"0813","01929.08"
"0821","01929.90"
"0826","01970"
"0867","21111.01"
"0870","21111.02"
"0947","21112"
"0977","21115"
"0987","02941"
"1017","21116"
"1035","21113.01"
"1038","21113.02"
"1057","02151"
"1058","21121"
"1069","21122"
"1073","21123"
"1080","21124"
"1097","21118.01"
"1108","21118.02"
"1111","21118.03"
"1127","21117.01"
"1141","21114"
"1151","21119.01"
"1158","21117.02"
"1163","21170.02"
"1166","21170.92"
"1167","21170.93"
"1169","02199.10"
"1171","02199.20"
"0015","0111"
"0017","39120.01"
"0018","23710"
"0019","23140.01"
"0021","23140.02"
"0023","23220.01"
"0024","23220.02"
"0026","24230.01"
"0027","0113"
"0028","23162"
"0029","23161.01"
"0031","23161.02"
"0032","23161.03"
"0033","39130.01"
"0034","23220.03"
"0035","39120.02"
"0036","21691.01"
"0037","21910.01"
"0039","24230.02"
"0041","23140.03"
"0044","0115"
"0045","23140.04"
"0046","23140.05"
"0047","39120.03"
"0049","24320"
"0050","23999.01"
"0056","0112"
"0057","23140.06"
"0059","39120.04"
"0060","21691.02"
"0061","21910.02"
"0063","39130.02"
"0064","23220.04"
"0067","0112"
"0068","0112"
"0071","0116"
"0073","39120.05"
"0075","0117"
"0076","23140.07"
"0077","39120.06"
"0079","0118"
"0081","39120.07"
"0083","0114"
"0085","39120.08"
"0089","01192"
"0091","39120.09"
"0092","01194"
"0094","01193"
"0096","39120.10"
"0097","01191"
"0099","39120.11"
"0101","01195"
"0103","01199.02"
"0105","39120.12"
"0108","01199.90"
"0109","23991.01"
"0110","23490.01"
"0112","39120.13"
"0113","23140.08"
"0114","23180"
"0115","23999.02"
"0116","01510"
"0117","21392"
"0118","21313"
"0119","23220.05"
"0120","39130.03"
"0121","23230.01"
"0122","01530"
"0125","01520.01"
"0126","23170.01"
"0127","23230.02"
"0128","01520.02"
"0129","23220.06"
"0135","01591"
"0136","01550"
"0137","01540"
"0149","01599.10"
"0150","23170.02"
"0151","01599.20"
"0154","23210.01"
"0155","23210.02"
"0156","01802"
"0157","01801"
"0158","23511.01"
"0159","23512"
"0160","23530"
"0161","01809"
"0162","2351f"
"0163","23511.02"
"0164","23520"
"0165","23540"
"0166","23210.03"
"0167","23210.04"
"0168","23670.01"
"0169","39140.01"
"0170","39140.02"
"0172","23210.05"
"0173","23210.06"
"0174","23210.07"
"0175","23210.08"
"0176","01701"
"0181","01702"
"0187","01705"
"0191","01703"
"0195","01706"
"0197","01707"
"0201","01704"
"0203","01708"
"0205","01709.01"
"0210","01709.02"
"0211","01709.90"
"0212","23170.03"
"0213","39120.14"
"0216","01377"
"0217","01372"
"0221","01371"
"0222","01376"
"0224","01379.02"
"0225","01374"
"0229","21429.01"
"0230","21424"
"0231","21422"
"0232","21429.02"
"0233","21423"
"0236","0141"
"0237","2161"
"0238","21910.03"
"0239","23995.01"
"0240","23995.02"
"0241","23999.03"
"0242","0142"
"0243","21421"
"0244","2162"
"0245","21910.04"
"0246","21495.01"
"0247","21495.02"
"0249","01460"
"0250","21429.07"
"0251","01492"
"0252","2166"
"0253","21910.05"
"0254","01491.01"
"0256","01491.02"
"0257","2165"
"0258","21691.14"
"0259","21910.06"
"0260","01450"
"0261","2167"
"0263","01499.01"
"0264","21691.03"
"0265","01447"
"0266","21691.04"
"0267","01445"
"0269","21910.07"
"0270","01443"
"0272","21910.08"
"0273","21910.09"
"0274","21673"
"0275","01499.02"
"0276","21691.05"
"0277","01499.03"
"0278","21691.06"
"0280","01446"
"0282","21910.10"
"0289","01444"
"0290","21691.07"
"0291","21910.11"
"0292","01442"
"0294","21910.12"
"0295","23995.03"
"0296","01448"
"0297","21691.08"
"0298","21910.13"
"0299","01449.01"
"0305","01499.04"
"0306","21691.09"
"0307","21691.10"
"0310","01499.05"
"0311","01499.06"
"0312","01499.07"
"0313","21691.11"
"0314","21910.14"
"0328","01921.01"
"0329","0143"
"0331","2168"
"0332","21910.15"
"0333","01441"
"0334","21691.12"
"0335","21910.16"
"0336","01449.02"
"0337","21691.13"
"0338","21910.17"
"0340","21691.90"
"0341","21910.90"
"0343","21920"
"0358","01212"
"0366","01216"
"0367","01211"
"0372","01214"
"0373","01215"
"0378","01219.01"
"0388","01234"
"0390","21321"
"0391","21399.01"
"0392","21399.02"
"0393","01213"
"0394","01235"
"0397","01232"
"0399","01233"
"0401","01231"
"0402","01253.01"
"0403","01253.02"
"0406","01252"
"0407","01254"
"0414","01241.90"
"0417","01242"
"0420","01243"
"0423","01241.01"
"0426","01251"
"0430","01239.01"
"0446","01290.01"
"0447","21319.01"
"0448","21399.03"
"0449","01270"
"0450","21393.01"
"0451","21397.01"
"0459","01691"
"0460","01990.01"
"0461","01356"
"0466","21329"
"0469","21393.90"
"0471","21340"
"0474","21330.90"
"0476","23991.02"
"0486","01312"
"0489","01313"
"0490","01323"
"0491","21431.01"
"0492","21431.02"
"0495","01324"
"0496","21439,01"
"0497","01322"
"0498","21439,02"
"0499","21439,03"
"0507","01321"
"0509","21432"
"0510","21432.01"
"0512","01329"
"0513","21439,04"
"0514","21439,05"
"0515","01341"
"0517","24230.03"
"0518","21435.01"
"0519","21435.02"
"0521","01342.01"
"0523","01342.02"
"0526","01343"
"0527","21419.01"
"0530","01344.01"
"0531","01344.02"
"0534","01345"
"0536","01346"
"0537","21412"
"0538","21439,06"
"0539","21439,07"
"0541","01349.20"
"0542","01349.10"
"0544","01354"
"0547","01353.01"
"0549","01351.02"
"0550","01351.01"
"0552","01355.01"
"0554","01355.02"
"0560","01330"
"0561","21411"
"0562","21434"
"0563","24212.01"
"0565","24220"
"0566","39120.18"
"0567","01221"
"0568","01229"
"0569","01315"
"0570","21419.02"
"0571","01316"
"0572","01311"
"0574","01318"
"0575","21491"
"0576","21433"
"0580","21433.01"
"0583","21439,08"
"0584","21499.01"
"0587","01359.01"
"0591","01359.02"
"0592","01352"
"0600","01317"
"0604","21419.91"
"0620","21419.99"
"0622","21439,9"
"0624","23170.04"
"0625","23670.02"
"0626","23991.03"
"0628","39120.15"
"0629","39120.16"
"0630","39120.17"
"0632","24110"
"0633","24490"
"0634","2413"
"0635","01913"
"0636","01911"
"0637","01919.01"
"0638","01919.02"
"0639","01919.91"
"0640","01919.03"
"0641","01912"
"0642","01919.94"
"0643","01919.92"
"0644","01919.04"
"0645","01919.93"
"0646","01919.05"
"0647","01919.06"
"0648","01919.07"
"0649","01919.08"
"0650","39120,92"
"0651","01919.96"
"0652","39120.91"
"0653","39170.01"
"0654","39160"
"0655","01919.95"
"0656","01610"
"0657","23911"
"0658","23912.01"
"0659","23912.02"
"0660","39150.01"
"0661","01640"
"0662","23610.01"
"0663","39150.02"
"0664","23620"
"0671","01630"
"0672","23914"
"0674","01930.04"
"0677","01659"
"0723","01699"
"0737","35410.01"
"0748","01930.01"
"0753","35410.90"
"0754","01930.02"
"0755","23999.04"
"0756","01930.03"
"0767","01921.02"
"0768","26160"
"0770","21800"
"0771","01929.01"
"0773","26190.01"
"0774","26190.02"
"0828","25020.01"
"0829","25020.02"
"0831","25090"
"0836","01950.01"
"0837","01950.02"
"0839","03211"
"0840","23319.01"
"0841","23319.02"
"0842","23319.03"
"0843","23311"
"0845","23319.04"
"0846","39130.04"
"0849","23319.05"
"0850","23319.06"
"0851","23319.07"
"0852","23319.08"
"0853","23319.09"
"0854","23319.10"
"0855","23319.11"
"0857","01919.09"
"0858","01919.10"
"0859","01919.11"
"0862","23320"
"0866","02111"
"0868","21151"
"0869","21512"
"0871","21512.01"
"0872","21182"
"0873","21185"
"0874","21184.01"
"0877","23991.04"
"0878","21189.04"
"0882","02211"
"0883","22110.01"
"0885","22120"
"0886","22241.01"
"0887","22241.02"
"0888","22110.02"
"0889","22222.01"
"0890","22130.03"
"0891","22230.01"
"0892","22230.02"
"0893","22230.03"
"0894","22221.01"
"0895","22221.02"
"0896","22222.02"
"0897","22211"
"0898","22212"
"0899","22230.04"
"0900","22130.02"
"0901","22251.01"
"0903","22130.01"
"0904","22251.02"
"0905","22251.03"
"0907","22251.04"
"0908","22110.03"
"0909","22290"
"0910","22270"
"0916","23993.01"
"0917","22260"
"0919","02951.01"
"0920","02951.04"
"0921","02951.05"
"0922","02951.91"
"0927","02951.02"
"0928","02951.06"
"0929","02951.07"
"0930","02951.92"
"0944","21111.01i"
"0945","21111.01b"
"0946","02112"
"0948","21152"
"0949","21513"
"0951","02212"
"0952","22242.01"
"0953","22242.02"
"0954","22110.04"
"0955","22252"
"0957","02951.03"
"0958","02951.08"
"0959","02951.09"
"0972","21112i"
"0973","21112b"
"0976","02122"
"0978","21155"
"0979","21514"
"0982","02291"
"0983","22249.01"
"0984","22253"
"0985","22110.05"
"0988","26130"
"0995","02953"
"0996","02953.03"
"0997","02953.04"
"0998","02953.90"
"0999","02953.01"
"1002","02955.01"
"1007","39213"
"1008","26150,01"
"1010","26150,02"
"1012","21115i"
"1013","21115b"
"1016","02123"
"1018","21156"
"1019","21515"
"1020","02292"
"1021","22254"
"1022","22249.02"
"1023","22110.06"
"1025","02954"
"1026","02954.01"
"1027","02954.02"
"1028","02954.90"
"1030","02943.01"
"1031","02942.02"
"1032","21116i"
"1033","21116b"
"1034","02140"
"1036","21153"
"1037","21511.01"
"1039","21181"
"1040","21511.02"
"1041","21184.02"
"1043","21521"
"1044","02959.01"
"1045","02959.03"
"1046","02959.04"
"1047","02959.05"
"1055","21113.01i"
"1056","21113.01b"
"1059","21160.01"
"1060","21189.05"
"1062","0231"
"1063","23993.02"
"1064","23993.03"
"1065","21511.03"
"1066","21522"
"1068","02154"
"1070","21122i"
"1071","21122b"
"1072","02153"
"1074","21160.02"
"1075","21160.03"
"1077","21123i"
"1078","21123b"
"1079","02152"
"1081","21160.04"
"1083","02194"
"1084","21170.01i"
"1085","21170.01b"
"1087","21124i"
"1088","21124b"
"1089","21170.01"
"1091","0232"
"1094","21121i"
"1095","21121b"
"1096","02131"
"1098","21159.01"
"1100","39110.01"
"1102","02952.01"
"1103","02952.04"
"1104","02952.05"
"1105","02952.91"
"1107","02132"
"1109","02952.02"
"1110","02133"
"1112","02952.03"
"1120","21118.01i"
"1121","21118.01b"
"1122","21118.02i"
"1123","21118.02b"
"1124","21118.03i"
"1125","21118.03b"
"1126","02121.01"
"1128","21159.02"
"1129","21519.02"
"1130","02293"
"1133","02959.02"
"1134","02959.06"
"1135","02959.07"
"1136","02959.08"
"1137","21117.01i"
"1138","21117.01b"
"1140","02191"
"1144","21114i"
"1145","21114b"
"1146","02955.02"
"1150","02192.01"
"1154","21119.01i"
"1155","21119.01b"
"1157","02121.02"
"1160","21519.03"
"1161","21117.02i"
"1162","21117.02b"
"1164","21183"
"1168","21529.03"
"1173","21190.01"
"1174","21291"
"1175","21190.02"
"1176","02920"
"1181","02196"
"1182","02910"
"1183","02960.01"
"1185","02944"
"1186","26110"
"1187","39211"
"1195","02955.90"
"1213","02959.91"
"1214","02959.20"
"1215","02959.30"
"1216","02959.99"
"1218","02943.02"
"1219","02942.90"
"1221","21529.02"
"1222","21932.01"
"1225","21523"
"1241","21700.01"
"1242","21700.02"
"1259","39170.02"
"1273","21693.02"
"1274","34550"
"1276","34120"
"1277","21932.02"
"1291","03219.01"
"1292","03219.90"
"1295","02960.02"
"1296","21931"
